"E","0001","Sales Org. Germany"
"E","0005","Germany Frankfurt"
"E","0006","USA Philadelphia"
"E","0007","Germany Frankfurt"
"E","0008","USA Philadelphia"
"E","1000","Germany Frankfurt"
"E","1020","Germany Berlin"
"E","1030","Germany Hamburg"
"E","2000","UK Heathrow/Hayes"
"E","2100","Portugal Porto"
"E","2200","France\, Paris"
"E","2220","France\, Paris"
"E","2300","Spain\, Barcelona"
"E","2400","Italy\, Milan"
"E","2500","Netherlands/Rotterdm"
"E","2700","Germany Frankfurt"
"E","2730","Germany Frankfurt"
"E","2750","Germany Frankfurt"
"E","2800","Beijing"
"E","2820","CN"
"E","2821","US"
"E","2822","US - 2"
"E","3000","USA Philadelphia"
"E","3010","USA Denver"
"E","3020","USA Denver"
"E","3050","UK Office"
"E","3110","Sales Org Auto SupUS"
"E","3700","USA Philadelphia"
"E","4000","Canada\, Toronto"
"E","4110","KR Sales org."
"E","4300","Best Run India"
"E","4510","SAP Sales Eastern"
"E","4520","SAP Sales Central"
"E","4530","SAP Sales Western"
"E","5000","Japan\, Tokyo"
"E","5100","Singapore"
"E","5430","Sales NL-1"
"E","5431","Sales NL-2"
"E","6000","Mexico City"
"E","6101","Germany Frankfurt"
"E","6102","Germany Frankfurt"
"E","6201","Germany Frankfurt"
"E","6202","Germany Frankfurt"
"E","6650","Riyadh"
"E","6651","Jeddah"
"E","6652","Dammam"
"E","6700",""
"E","6701",""
"E","6702",""
"E","7000","Brazil Saõ Paulo"
"E","7001","Brazil Saõ Paulo"
"E","7003","Brazil Saõ Paulo"
"E","7500","Argentina B.Aires"
"E","7999","Brazil Rio Janeiro"
"E","8000","Chile\, Santiago"
"E","8500","Sales Org. Australia"
"E","8520","Australia NR"
"E","8530","Australia SR"
"E","8580","Australia PS"
"E","8590","New Zealand"
"E","9000","Russia\, Moscow"
"E","CPB1","Sales Org. US"
"E","CPC1","Germany Frankfurt"
"E","CPF1","Sales Org. US"
"E","CPF2","Sales Org. US"
"E","FS01","IDES Fin. Services"
"E","I001","Sales Org Phone"
"E","I002","Sales Org Pad"
"E","I003","Sales Org Computer"
"E","IN47","India"
"E","R100","Retail Germany"
"E","R300","Retail USA"
"E","S300","Services USA"
"E","S330","SP Sales Org"
"E","SL31","USA Los Angeles"
"E","SL41","CSL China"
"E","SO01","Sales Organization 1"
"E","SO02","Sales Organization 2"
"E","TM1","TM: Simon Expr Corp."
"E","TM2","TM: Deutsche Übersee"
"E","X100","Germany"
"E","X200","India"
"E","X300","Australia"
"E","X400","US"
"E","Z000","MesseVK organisation"
"E","ZBD1","Sales Org. EDI"
